hour,heating [kW(th)/h/m2],PV electricity kW,Wind electricity kW,Demand kW,eur/kWh Elec,eur/kWh Diesel,,
1.0000,0.0000,0.0000,0.0839,1664.7351,0.0689,0.1190,,
2.0000,0.0001,0.0000,0.0839,1551.2123,0.0650,0.1190,,
3.0000,0.0000,0.0000,0.0839,1429.0156,0.0603,0.1190,,
4.0000,0.0012,0.0000,0.0839,1350.9513,0.0500,0.1190,,
5.0000,0.0081,0.0000,0.0839,1324.0599,0.0477,0.1190,,
6.0000,0.0090,0.0000,0.0839,1296.7088,0.0480,0.1190,,
7.0000,0.0139,0.0000,0.0839,1597.5924,0.0498,0.1190,,
8.0000,0.0194,0.0000,0.1533,1479.0196,0.0551,0.1190,,
9.0000,0.0171,0.0000,0.1533,1791.1166,0.0448,0.1190,,
10.0000,0.0158,0.0218,0.1533,1686.5041,0.0496,0.1190,,
11.0000,0.0153,0.0270,0.1533,1479.0196,0.0554,0.1190,,
12.0000,0.0164,0.0526,0.1533,1503.4476,0.0626,0.1190,,
13.0000,0.0162,0.0719,0.1533,1324.0599,0.0574,0.1190,,
14.0000,0.0160,0.0449,0.1533,1182.3745,0.0508,0.1190,,
15.0000,0.0073,0.0321,0.0839,1121.9899,0.0499,0.1190,,
16.0000,0.0059,0.0051,0.0839,1211.7331,0.0501,0.1190,,
17.0000,0.0059,0.0000,0.0839,1429.0156,0.0506,0.1190,,
18.0000,0.0013,0.0000,0.1533,1707.9810,0.0607,0.1190,,
19.0000,0.0017,0.0000,0.0839,1454.2129,0.0505,0.1190,,
20.0000,0.0018,0.0000,0.0839,1377.3982,0.0474,0.1190,,
21.0000,0.0013,0.0000,0.0839,1268.8820,0.0504,0.1190,,
22.0000,0.0010,0.0000,0.0839,1211.7331,0.0475,0.1190,,
23.0000,0.0006,0.0000,0.1533,1182.3745,0.0511,0.1190,,
24.0000,0.0004,0.0000,0.1533,1296.7088,0.0476,0.1190,,
25.0000,0.0003,0.0000,0.1533,1429.0156,0.0490,0.1190,,
26.0000,0.0001,0.0000,0.1533,1503.4476,0.0466,0.1190,,
27.0000,0.0017,0.0000,0.0839,1403.4150,0.0466,0.1190,,
28.0000,0.0063,0.0000,0.0839,1240.5627,0.0457,0.1190,,
29.0000,0.0091,0.0000,0.0839,2306.1566,0.0460,0.1190,,
30.0000,0.0100,0.0000,0.0372,2762.7740,0.0465,0.1190,,
31.0000,0.0140,0.0000,0.0372,2740.5514,0.0479,0.1190,,
32.0000,0.0197,0.0000,0.0061,2762.7740,0.0495,0.1190,,
33.0000,0.0184,0.0000,0.0061,3126.4107,0.0524,0.1190,,
34.0000,0.0182,0.0000,0.0061,3035.9912,0.0524,0.1190,,
35.0000,0.0179,0.0154,0.0061,3063.6576,0.0524,0.1190,,
36.0000,0.0166,0.0231,0.0000,3195.2385,0.0519,0.1190,,
37.0000,0.0168,0.0116,0.0061,3054.4885,0.0516,0.1190,,
38.0000,0.0156,0.0103,0.0061,3253.1260,0.0518,0.1190,,
39.0000,0.0061,0.0347,0.0061,3261.2272,0.0526,0.1190,,
40.0000,0.0060,0.0462,0.0839,3135.1778,0.0600,0.1190,,
41.0000,0.0050,0.0039,0.1533,3228.5731,0.0700,0.1190,,
42.0000,0.0022,0.0000,0.1533,3269.2877,0.0800,0.1190,,
43.0000,0.0012,0.0000,0.0839,3203.6375,0.0777,0.1190,,
44.0000,0.0010,0.0000,0.0372,3072.7744,0.0765,0.1190,,
45.0000,0.0020,0.0000,0.0061,2612.4831,0.0673,0.1190,,
46.0000,0.0020,0.0000,0.0061,2291.4100,0.0556,0.1190,,
47.0000,0.0004,0.0000,0.0061,1999.6955,0.0538,0.1190,,
48.0000,0.0003,0.0000,0.0061,1926.9557,0.0524,0.1190,,
49.0000,0.0001,0.0000,0.0061,1870.1450,0.0501,0.1190,,
50.0000,0.0001,0.0000,0.0372,1642.6658,0.0471,0.1190,,
51.0000,0.0017,0.0000,0.0372,1350.9513,0.0464,0.1190,,
52.0000,0.0077,0.0000,0.0372,1403.4150,0.0440,0.1190,,
53.0000,0.0081,0.0000,0.0372,2419.4783,0.0439,0.1190,,
54.0000,0.0094,0.0000,0.0372,2817.0165,0.0459,0.1190,,
55.0000,0.0134,0.0000,0.0372,2838.2088,0.0525,0.1190,,
56.0000,0.0187,0.0000,0.0839,2806.3141,0.0586,0.1190,,
57.0000,0.0177,0.0000,0.0839,3220.3043,0.0651,0.1190,,
58.0000,0.0167,0.0013,0.0372,3081.8396,0.0756,0.1190,,
59.0000,0.0160,0.0282,0.0839,3007.8379,0.0797,0.1190,,
60.0000,0.0153,0.0655,0.0839,3108.7310,0.0743,0.1190,,
61.0000,0.0151,0.1027,0.1533,3017.2775,0.0737,0.1190,,
62.0000,0.0081,0.1027,0.2517,3090.8537,0.0703,0.1190,,
63.0000,0.0053,0.0847,0.2517,3261.2272,0.0699,0.1190,,
64.0000,0.0047,0.0334,0.2517,3178.3071,0.0685,0.1190,,
65.0000,0.0045,0.0013,0.3806,3293.2283,0.0700,0.1190,,
66.0000,0.0011,0.0000,0.3806,3236.7993,0.0737,0.1190,,
67.0000,0.0009,0.0000,0.3806,3161.1947,0.0837,0.1190,,
68.0000,0.0016,0.0000,0.3806,2979.1805,0.0713,0.1190,,
69.0000,0.0019,0.0000,0.3806,3007.8379,0.0684,0.1190,,
70.0000,0.0016,0.0000,0.3806,2306.1566,0.0617,0.1190,,
71.0000,0.0005,0.0000,0.3806,1963.7389,0.0538,0.1190,,
72.0000,0.0004,0.0000,0.3806,1870.1450,0.0500,0.1190,,
73.0000,0.0003,0.0000,0.5411,1926.9557,0.0516,0.1190,,
74.0000,0.0001,0.0000,0.5411,1642.6658,0.0471,0.1190,,
75.0000,0.0006,0.0000,0.5411,1527.5082,0.0471,0.1190,,
76.0000,0.0022,0.0000,0.5411,1403.4150,0.0462,0.1190,,
77.0000,0.0076,0.0000,0.7117,2446.5976,0.0470,0.1190,,
78.0000,0.0094,0.0000,0.7117,2848.7007,0.0469,0.1190,,
79.0000,0.0133,0.0000,0.7117,2910.2467,0.0595,0.1190,,
80.0000,0.0182,0.0000,0.7117,2889.9933,0.0684,0.1190,,
81.0000,0.0168,0.0000,0.5411,3161.1947,0.0742,0.1190,,
82.0000,0.0154,0.0000,0.5411,3045.2666,0.0800,0.1190,,
83.0000,0.0154,0.0051,0.5411,3072.7744,0.0854,0.1190,,
84.0000,0.0159,0.0167,0.5411,3203.6375,0.0826,0.1190,,
85.0000,0.0143,0.0295,0.5411,3035.9912,0.0697,0.1190,,
86.0000,0.0066,0.0193,0.3806,3308.9920,0.0697,0.1190,,
87.0000,0.0055,0.0090,0.5411,3429.8041,0.0697,0.1190,,
88.0000,0.0057,0.0026,0.5411,3269.2877,0.0730,0.1190,,
89.0000,0.0065,0.0000,0.7117,3308.9920,0.0760,0.1190,,
90.0000,0.0021,0.0000,0.5411,3277.3078,0.0899,0.1190,,
91.0000,0.0011,0.0000,0.5411,3203.6375,0.0733,0.1190,,
92.0000,0.0012,0.0000,0.5411,3169.7738,0.0550,0.1190,,
93.0000,0.0019,0.0000,0.5411,3220.3043,0.0527,0.1190,,
94.0000,0.0021,0.0000,0.3806,2363.8205,0.0521,0.1190,,
95.0000,0.0007,0.0000,0.3806,1981.8182,0.0514,0.1190,,
96.0000,0.0004,0.0000,0.3806,1999.6955,0.0506,0.1190,,
97.0000,0.0003,0.0000,0.2517,2034.8617,0.0500,0.1190,,
98.0000,0.0001,0.0000,0.2517,1831.1186,0.0460,0.1190,,
99.0000,0.0000,0.0000,0.2517,1791.1166,0.0457,0.1190,,
100.0000,0.0000,0.0000,0.2517,1527.5082,0.0455,0.1190,,
101.0000,0.0000,0.0000,0.1533,2459.9868,0.0450,0.1190,,
102.0000,0.0000,0.0000,0.1533,2848.7007,0.0438,0.1190,,
103.0000,0.0000,0.0000,0.0839,2910.2467,0.0459,0.1190,,
104.0000,0.0000,0.0000,0.0839,2889.9933,0.0467,0.1190,,
105.0000,0.0000,0.0000,0.0372,3277.3078,0.0517,0.1190,,
106.0000,0.0000,0.0167,0.0372,3108.7310,0.0524,0.1190,,
107.0000,0.0001,0.0398,0.0372,3054.4885,0.0526,0.1190,,
108.0000,0.0001,0.0424,0.0372,3081.8396,0.0527,0.1190,,
109.0000,0.0003,0.0308,0.0839,3072.7744,0.0730,0.1190,,
110.0000,0.0001,0.0526,0.0839,3007.8379,0.0730,0.1190,,
111.0000,0.0001,0.0449,0.0839,3063.6576,0.0690,0.1190,,
112.0000,0.0003,0.0039,0.1533,2706.6279,0.0641,0.1190,,
113.0000,0.0001,0.0000,0.2517,2817.0165,0.0596,0.1190,,
114.0000,0.0004,0.0000,0.2517,2859.1242,0.0751,0.1190,,
115.0000,0.0001,0.0000,0.2517,2486.4337,0.0747,0.1190,,
116.0000,0.0000,0.0000,0.2517,1574.5704,0.0730,0.1190,,
117.0000,0.0000,0.0000,0.1533,1503.4476,0.0681,0.1190,,
118.0000,0.0000,0.0000,0.1533,1182.3745,0.0536,0.1190,,
119.0000,0.0000,0.0000,0.1533,1182.3745,0.0528,0.1190,,
120.0000,0.0001,0.0000,0.0839,1240.5627,0.0624,0.1190,,
121.0000,0.0000,0.0000,0.0839,1403.4150,0.0520,0.1190,,
122.0000,0.0003,0.0000,0.0839,1454.2129,0.0500,0.1190,,
123.0000,0.0001,0.0000,0.0839,1403.4150,0.0484,0.1190,,
124.0000,0.0001,0.0000,0.0839,1377.3982,0.0480,0.1190,,
125.0000,0.0001,0.0000,0.0839,1121.9899,0.0459,0.1190,,
126.0000,0.0001,0.0000,0.0372,1429.0156,0.0472,0.1190,,
127.0000,0.0003,0.0000,0.0372,1429.0156,0.0482,0.1190,,
128.0000,0.0001,0.0000,0.0061,1403.4150,0.0491,0.1190,,
129.0000,0.0003,0.0000,0.0061,1620.2878,0.0507,0.1190,,
130.0000,0.0000,0.0000,0.0000,1377.3982,0.0534,0.1190,,
131.0000,0.0001,0.0257,0.0000,1999.6955,0.0566,0.1190,,
132.0000,0.0000,0.0385,0.0000,2706.6279,0.0600,0.1190,,
133.0000,0.0000,0.0449,0.0000,2838.2088,0.0602,0.1190,,
134.0000,0.0000,0.0385,0.0000,2806.3141,0.0550,0.1190,,
135.0000,0.0000,0.0359,0.0000,2718.0158,0.0524,0.1190,,
136.0000,0.0001,0.0064,0.0000,2486.4337,0.0516,0.1190,,
137.0000,0.0001,0.0000,0.0061,2660.2478,0.0547,0.1190,,
138.0000,0.0001,0.0000,0.0839,2660.2478,0.0634,0.1190,,
139.0000,0.0003,0.0000,0.1533,2762.7740,0.0674,0.1190,,
140.0000,0.0003,0.0000,0.2517,2718.0158,0.0672,0.1190,,
141.0000,0.0001,0.0000,0.2517,2751.7013,0.0660,0.1190,,
142.0000,0.0003,0.0000,0.2517,2695.1583,0.0554,0.1190,,
143.0000,0.0001,0.0000,0.1533,1791.1166,0.0586,0.1190,,
144.0000,0.0006,0.0000,0.1533,1908.2420,0.0519,0.1190,,
145.0000,0.0029,0.0000,0.1533,2052.1592,0.0460,0.1190,,
146.0000,0.0062,0.0000,0.1533,1850.7508,0.0480,0.1190,,
147.0000,0.0078,0.0000,0.0839,1574.5704,0.0478,0.1190,,
148.0000,0.0090,0.0000,0.0839,1479.0196,0.0461,0.1190,,
149.0000,0.0095,0.0000,0.0839,2446.5976,0.0461,0.1190,,
150.0000,0.0113,0.0000,0.0839,2920.2781,0.0476,0.1190,,
151.0000,0.0168,0.0000,0.0839,2998.3424,0.0558,0.1190,,
152.0000,0.0264,0.0000,0.0839,2838.2088,0.0686,0.1190,,
153.0000,0.0244,0.0000,0.0839,3135.1778,0.0742,0.1190,,
154.0000,0.0232,0.0116,0.0839,3007.8379,0.0749,0.1190,,
155.0000,0.0211,0.0218,0.1533,3054.4885,0.0736,0.1190,,
156.0000,0.0206,0.0231,0.2517,3236.7993,0.0712,0.1190,,
157.0000,0.0195,0.0270,0.2517,3054.4885,0.0673,0.1190,,
158.0000,0.0164,0.0141,0.2517,3108.7310,0.0651,0.1190,,
159.0000,0.0162,0.0077,0.1533,3355.3720,0.0626,0.1190,,
160.0000,0.0160,0.0039,0.1533,3178.3071,0.0576,0.1190,,
161.0000,0.0159,0.0000,0.0839,3415.1921,0.0570,0.1190,,
162.0000,0.0020,0.0000,0.0372,3347.7348,0.0728,0.1190,,
163.0000,0.0011,0.0000,0.0372,3285.2879,0.0529,0.1190,,
164.0000,0.0012,0.0000,0.0061,3117.5953,0.0500,0.1190,,
165.0000,0.0019,0.0000,0.0061,2838.2088,0.0510,0.1190,,
166.0000,0.0015,0.0000,0.0061,2119.5376,0.0490,0.1190,,
167.0000,0.0007,0.0000,0.0061,1791.1166,0.0475,0.1190,,
168.0000,0.0004,0.0000,0.0061,1811.2426,0.0444,0.1190,,
169.0000,0.0003,0.0000,0.0372,1850.7508,0.0367,0.1190,,
170.0000,0.0000,0.0000,0.0839,1664.7351,0.0456,0.1190,,
171.0000,0.0000,0.0000,0.0839,1597.5924,0.0390,0.1190,,
172.0000,0.0051,0.0000,0.1533,1503.4476,0.0400,0.1190,,
173.0000,0.0081,0.0000,0.1533,2119.5376,0.0328,0.1190,,
174.0000,0.0089,0.0000,0.0839,2817.0165,0.0430,0.1190,,
175.0000,0.0133,0.0000,0.0839,2848.7007,0.0540,0.1190,,
176.0000,0.0187,0.0000,0.0839,2879.7696,0.0530,0.1190,,
177.0000,0.0178,0.0000,0.0372,3161.1947,0.0598,0.1190,,
178.0000,0.0179,0.0231,0.0372,3169.7738,0.0601,0.1190,,
179.0000,0.0164,0.1001,0.0061,3099.8173,0.0559,0.1190,,
180.0000,0.0159,0.1797,0.0000,3186.7952,0.0535,0.1190,,
181.0000,0.0135,0.2170,0.0000,3152.5693,0.0487,0.1190,,
182.0000,0.0077,0.1977,0.0000,3211.9926,0.0490,0.1190,,
183.0000,0.0077,0.1335,0.0000,3422.5148,0.0524,0.1190,,
184.0000,0.0076,0.0616,0.0000,3332.3501,0.0524,0.1190,,
185.0000,0.0076,0.0039,0.0000,3316.8160,0.0528,0.1190,,
